selector,link
#main-content, https://www.mayoclinic.org/symptoms/headache/basics/definition/sym-20050800#:~:text=Headache%20is%20pain%20in%20any
#mw-content-text, http://en.wikipedia.org/wiki/Headaches
div.article__body, https://www.webmd.com/migraines-headaches/migraines-headaches-basics
div.page-content, https://my.clevelandclinic.org/health/diseases/9639-headaches
main, https://www.health.harvard.edu/pain/headache-when-to-worry-what-to-do
article.article-body, https://www.medicalnewstoday.com/articles/73936
main, https://kidshealth.org/en/teens/headaches.prt-en.html
#__next > div.css-fdjy12 > div:nth-child(6) > div, https://www.healthline.com/health/headache
#HwMain, https://myhealth.alberta.ca/Health/Pages/conditions.aspx?hwid=heada
#post-1414, https://brighamhealthhub.org/when-is-a-headache-a-sign-of-a-brain-tumor/
