value,tag
INTRODUCTION,NNP
Migraine,NNP
common,JJ
episodic,JJ
disorder,NN
hallmark,NN
disabling,VBG
headache,NN
generally,RB
associated,VBN
nausea,NN
light,NN
sound,JJ
sensitivity,NN
The,DT
acute,JJ
treatment,NN
migraine,NN
adults,NNS
reviewed,VBN
Preventive,JJ
treatment,NN
migraine,NN
adults,NNS
discussed,VBN
separately,RB
See,VB
Preventive,NNP
treatment,NN
episodic,JJ
migraine,NN
adults,NNS
The,DT
pathophysiology,NN
clinical,JJ
manifestations,NNS
diagnosis,NN
migraine,NN
also,RB
discussed,VBN
separately,RB
See,VB
Pathophysiology,NNP
clinical,JJ
manifestations,NNS
diagnosis,NN
migraine,NN
adults,NNS
APPROACH,NN
TO,NNP
TREATMENT,NNP
The,DT
abortive,JJ
symptomatic,JJ
therapy,NN
migraine,NN
ranges,NNS
use,NN
simple,JJ
analgesics,NNS
nonsteroidal,JJ
drugs,NNS
NSAIDs,NNP
acetaminophen,VB
triptans,NNS
antiemetics,NNS
calcitonin,JJ
peptide,NN
CGRP,NNP
antagonists,VBZ
lasmiditan,NN
dihydroergotamine,NN
Noninvasive,JJ
neuromodulation,NN
devices,NNS
typically,RB
used,VBN
patients,NNS
respond,VB
tolerate,VB
drug,NN
treatments,NNS
wish,VBP
avoid,VB
treatments,NNS
usually,RB
effective,JJ
given,VBN
early,RB
course,NN
headache,NN
large,JJ
single,JJ
dose,NN
tends,NNS
work,VB
better,JJR
repetitive,JJ
small,JJ
doses,NNS
For,IN
patients,NNS
oral,JJ
agents,NNS
less,RBR
effective,JJ
poor,JJ
absorption,NN
secondary,JJ
gastric,JJ
stasis,NN
recommendations,NNS
treatment,NN
acute,JJ
migraine,NN
include,VBP
following,JJ
migraine,NN
sufferers,NNS
condition,NN
treatment,NN
encourage,VB
participate,VB
agents,NNS
eg,NN
triptans,NNS
CGRP,NNP
antagonists,VBZ
lasmiditan,NN
dihydroergotamine,NN
patients,NNS
severe,JJ
migraine,NN
whose,WP$
headaches,NNS
respond,VBP
poorly,RB
NSAIDs,NNP
combination,NN
nonoral,JJ
route,NN
administration,NN
patients,NNS
whose,WP$
migraines,NNS
present,VBD
early,JJ
significant,JJ
nausea,NN
rescue,NN
medication,NN
patients,NNS
severe,JJ
migraines,NNS
respond,VB
well,RB
medication,NN
overuse,IN
headache,NN
educating,VBG
patients,NNS
risk,NN
using,VBG
prophylactic,JJ
medications,NNS
patients,NNS
frequent,JJ
headaches,NNS
See,VB
Medication,NNP
overuse,NN
headache,NN
Etiology,NN
clinical,JJ
features,NNS
diagnosis,NN
Preventive,JJ
treatment,NN
episodic,JJ
migraine,NN
adults,NNS
The,DT
early,JJ
use,NN
medications,NNS
severe,JJ
attacks,NNS
provided,VBD
best,JJS
outcomes,NNS
randomized,NN
controlled,VBN
trial,NN
adults,NNS
migraine,NN
compared,VBN
strategies,NNS
One,CD
group,NN
step,NN
care,NN
within,IN
attacks,NNS
received,VBD
aspirin,JJ
mg,NN
plus,CC
metoclopramide,JJ
mg,NN
initial,JJ
therapy,NN
attacks,NNS
patients,NNS
responding,VBG
treatment,NN
two,CD
hours,NNS
attack,NN
escalated,VBD
treatment,NN
zolmitriptan,NNP
mg,NN
A,DT
second,JJ
group,NN
step,NN
care,NN
across,IN
attacks,NNS
received,VBD
initial,JJ
treatment,NN
aspirin,NN
mg,NN
plus,CC
metoclopramide,JJ
mg,NN
patients,NNS
responding,VBG
least,JJS
two,CD
first,JJ
three,CD
attacks,NNS
switched,VBD
zolmitriptan,NNP
mg,NN
next,JJ
three,CD
attacks,NNS
In,IN
third,JJ
group,NN
stratified,VBN
care,NN
patients,NNS
mild,JJ
headaches,NNS
treated,VBN
aspirin,JJ
plus,CC
metoclopramide,JJ
severe,JJ
headaches,NNS
treated,VBN
zolmitriptan,NN
The,DT
latter,JJ
two,CD
groups,NNS
significantly,RB
better,RBR
outcomes,RB
first,JJ
group,NN
measured,VBN
headache,NN
response,NN
disability,NN
time,NN
although,IN
patients,NNS
stratified,JJ
group,NN
greatest,JJS
number,NN
adverse,JJ
pharmacologic,NN
approach,NN
migraine,VB
directed,VBN
mainly,RB
severity,NN
attacks,NNS
presence,NN
associated,VBN
nausea,NN
vomiting,NN
treatment,NN
setting,NN
outpatient,JJ
medical,JJ
care,NN
facility,NN
factors,NNS
presence,NN
vascular,JJ
risk,NN
factors,NNS
drug,NN
moderate,VB
attacks,NNS
For,IN
mild,NN
moderate,VB
migraine,NN
attacks,NNS
associated,VBN
vomiting,VBG
severe,JJ
nausea,NN
simple,JJ
analgesics,NNS
NSAIDs,NNP
acetaminophen,NN
combination,NN
analgesics,NNS
often,RB
tried,VBN
first,RB
effective,JJ
less,RBR
expensive,JJ
agents,NNS
For,IN
attacks,NNS
unresponsive,JJ
analgesics,NNS
combined,VBN
use,NN
NSAID,NNP
triptan,JJ
appears,VBZ
effective,JJ
using,VBG
either,CC
drug,NN
class,NN
alone,RB
When,WRB
mild,NN
moderate,VB
attacks,NNS
associated,VBN
severe,JJ
nausea,NN
vomiting,NN
oral,JJ
rectal,JJ
antiemetic,JJ
drug,NN
used,VBN
conjunction,NN
simple,JJ
combination,NN
analgesics,NNS
See,JJ
'Simple,POS
analgesics,NNS
',POS
'Triptans,NNS
',POS
'Triptans,NNS
NSAIDs,NNP
',POS
'Antiemetics,NNS
',POS
Moderate,NNP
severe,VB
attacks,NNS
For,IN
moderate,JJ
severe,VB
migraine,NN
attacks,NNS
associated,VBN
vomiting,VBG
severe,JJ
nausea,NN
oral,JJ
agents,NNS
including,VBG
oral,JJ
triptans,NNS
combination,NN
For,IN
contraindications,NNS
tolerate,VB
triptans,NNS
calcitonin,JJ
peptide,NN
CGRP,NNP
antagonist,NN
lasmiditan,NN
may,MD
effective,JJ
When,WRB
complicated,VBN
vomiting,VBG
severe,JJ
nausea,NN
severe,JJ
migraine,NN
attacks,NNS
treated,VBN
antiemetic,JJ
drug,NN
nonoral,JJ
medications,NNS
including,VBG
subcutaneous,JJ
sumatriptan,NN
nasal,JJ
sumatriptan,NN
zolmitriptan,NN
parenteral,JJ
dihydroergotamine,NN
See,VB
'Triptans,NNPS
',POS
'Triptans,NNS
NSAIDs,NNP
',POS
'CGRP,JJ
antagonists,NNS
',POS
'Lasmiditan,NNP
',POS
'Antiemetics,NNS
',POS
'Ergots,NNS
',POS
Status,NNP
migrainosus,NN
For,IN
severe,JJ
intractable,JJ
migraine,NN
attacks,NNS
status,NN
migrainosus,NN
ie,NN
debilitating,JJ
attack,NN
lasting,VBG
hours,NNS
patients,NNS
may,MD
treated,VBN
combination,NN
intravenous,JJ
fluids,NNS
plus,CC
parenteral,JJ
medications,NNS
ketorolac,NN
dopamine,NN
receptor,NN
blocker,NN
Other,JJ
parenteral,JJ
medications,NNS
valproate,NN
dihydroergotamine,NN
may,MD
also,RB
warranted,VBN
depending,VBG
response,NN
initial,JJ
therapy,NN
Treatment,NN
options,NNS
based,VBN
evidence,NN
medication,NN
selection,NN
depends,VBZ
upon,IN
factors,NNS
See,VB
'Nonsteroidal,POS
drugs,NNS
',POS
'Prochlorperazine,NN
',''
'Metoclopramide,NNP
',POS
'Others,NNS
',POS
Administration,NN
parenteral,JJ
dexamethasone,NN
often,RB
used,VBN
prevent,VB
attack,NN
relapse,NN
See,VB
'Abortive,CD
therapy,NN
plus,CC
parenteral,JJ
dexamethasone,NN
',POS
Patients,NNPS
may,MD
require,VB
admission,NN
persistent,JJ
disabling,NN
symptoms,NNS
despite,IN
initial,JJ
treatment,NN
regimen,NNS
weaning,VBG
medication,NN
overuse,NN
monitor,VB
withdrawal,NN
symptoms,NNS
See,VB
'Emergency,CD
settings,NNS
',POS
Medication,NNP
overuse,NN
headache,NN
Treatment,NN
prognosis,NN
section,NN
'Outpatient,NN
inpatient,NN
strategies,NNS
',POS
'Antiemetics,NNS
',POS
'Simple,JJ
analgesics,NNS
',POS
'Ergots,NNS
',POS
Variable,JJ
attacks,NNS
Many,JJ
patients,NNS
migraine,NN
attacks,NNS
vary,VBP
severity,NN
time,NN
onset,NN
association,NN
vomiting,NN
nausea,NN
These,DT
patients,NNS
may,MD
require,VB
two,CD
options,NNS
acute,JJ
migraine,NN
including,VBG
oral,JJ
medications,NNS
mild,NN
moderate,VB
attacks,NNS
nonoral,JJ
medications,NNS
eg,NN
subcutaneous,JJ
nasal,JJ
triptans,NNS
severe,JJ
attacks,NNS
associated,VBN
vomiting,VBG
severe,JJ
settings,NNS
Patients,NNS
present,VBP
migraine,NN
emergency,NN
settings,NNS
generally,RB
unusually,RB
severe,JJ
attacks,NNS
many,JJ
cases,NNS
customary,JJ
acute,NN
migraine,NN
treatment,NN
failed,VBN
provide,VB
relief,NN
The,DT
treatment,NN
migraine,NN
attacks,NNS
emergency,NN
department,NN
urgent,JJ
care,NN
settings,NNS
follows,VBZ
principles,NNS
treatment,NN
nonurgent,JJ
settings,NNS
outlined,VBN
see,VB
'Mild,CD
moderate,VB
attacks,NNS
',POS
'Moderate,VB
severe,VB
attacks,NNS
',POS
obvious,JJ
difference,NN
parenteral,JJ
medications,NNS
readily,RB
available,JJ
The,DT
following,JJ
reasonable,JJ
options,NNS
evidence,NN
efficacy,NN
randomized,VBN
trials,NNS
mg,RB
subcutaneous,JJ
injection,NN
see,VB
'Triptans,NNPS
',POS
receptor,NN
blockers,NNS
see,VB
'Antiemetics,NNS
',POS
mg,NN
intravenous,JJ
IV,NNP
intramuscular,JJ
IM,NNP
mg,NNS
mg,NN
single,JJ
dose,NN
slow,JJ
IV,NNP
infusion,NN
maximum,JJ
rate,NN
maximum,JJ
cumulative,JJ
dose,NN
mg,RB
IV,NNP
combined,VBD
metoclopramide,NN
mg,RB
IV,NNP
see,VB
'Dihydroergotamine,NNP
',POS
mg,NN
IV,NNP
mg,NNS
IM,NNP
mg,NN
IV,NNP
mg,NNS
IM,NNP
patients,NNS
years,NNS
kg,NN
renal,JJ
impairment,NN
see,VB
'Nonsteroidal,POS
drugs,NNS
',POS
For,IN
patients,NNS
present,VBP
hospital,NN
emergency,NN
department,NN
severe,JJ
migraine,NN
particularly,RB
migraine,NN
accompanied,VBN
severe,JJ
nausea,NN
vomiting,NN
suggest,VBP
initial,JJ
treatment,NN
either,DT
subcutaneous,JJ
sumatriptan,NN
parenteral,JJ
antiemetic,JJ
eg,JJ
prochlorperazine,NN
metoclopramide,NN
chlorpromazine,NN
doses,NNS
listed,VBN
When,WRB
giving,VBG
parenteral,JJ
antiemetics,NNS
migraine,NN
suggest,VBP
adjunct,JJ
use,NN
diphenhydramine,NN
mg,NNS
IV,NNP
every,DT
hour,NN
two,CD
doses,NNS
prevent,VB
akathisia,NN
dystonic,JJ
reactions,NNS
See,VB
'Antiemetics,NNS
',POS
Dihydroergotamine,NNP
DHE,NNP
mg,NN
IV,NNP
combined,VBD
metoclopramide,JJ
mg,NN
IV,NNP
also,RB
reasonable,JJ
alternative,NN
treatment,NN
intractable,JJ
severe,JJ
migraine,NN
emergency,NN
department,NN
used,VBN
metoclopramide,JJ
monotherapy,NN
ineffective,JJ
Parenteral,JJ
dihydroergotamine,NN
used,VBN
monotherapy,NN
Dihydroergotamine,NNP
contraindicated,VBN
patients,NNS
ischemic,JJ
vascular,JJ
disease,NN
involving,VBG
cardiac,NN
cerebrovascular,JJ
peripheral,JJ
circulations,NNS
See,VB
'Dihydroergotamine,NNP
',POS
For,IN
patients,NNS
treated,VBN
emergency,NN
department,NN
clinic,NN
migraine,NN
headache,NN
one,CD
standard,JJ
migraine,NN
abortive,JJ
therapies,NNS
recommend,VBP
adjunctive,JJ
treatment,NN
dexamethasone,NN
mg,NNS
IV,NNP
IM,NNP
reduce,VB
risk,NN
early,JJ
headache,NN
recurrence,NN
See,VB
'Abortive,CD
therapy,NN
plus,CC
parenteral,JJ
dexamethasone,NN
',POS
Overuse,IN
opioid,JJ
medications,NNS
acute,JJ
headache,NN
hospital,NN
emergency,NN
departments,NNS
appears,VBZ
widespread,JJ
United,NNP
States,NNPS
Canada,NNP
despite,IN
available,JJ
practice,NN
guidelines,NNS
recommend,VBP
nonopioid,JJ
medications,NNS
therapy,NN
severe,JJ
migraine,NN
recommend,VB
opioids,NNS
used,VBN
acute,JJ
treatment,NN
migraine,NN
Patients,NNS
treated,VBD
opioids,NNS
therapy,NN
significantly,RB
likely,JJ
return,VB
emergency,NN
department,NN
headache,NN
within,IN
seven,CD
days,NNS
original,JJ
visit,NN
The,DT
treatment,NN
migraine,NN
pregnant,JJ
patients,NNS
differs,NNS
somewhat,RB
treatment,NN
others,NNS
concerns,NNS
adverse,JJ
fetal,JJ
drug,NN
effects,NNS
This,DT
aspect,NN
acute,NN
migraine,NN
care,NN
reviewed,VBN
separately,RB
See,VB
Headache,NNP
pregnant,JJ
postpartum,JJ
women,NNS
section,NN
'Acute,JJ
migraine,NN
treatment,NN
',POS
Avoidance,NN
medication,NN
overuse,IN
Medication,NNP
overuse,NN
headache,NN
MOH,NNP
also,RB
called,VBD
analgesic,JJ
rebound,NN
headache,NN
common,JJ
disorder,NN
significant,JJ
morbidity,NN
Many,JJ
symptomatic,JJ
medications,NNS
used,VBN
treat,VB
headaches,NNS
potential,NN
causing,VBG
MOH,NNP
However,RB
degree,NN
risk,NN
differs,NNS
depending,VBG
upon,IN
specific,JJ
medication,NN
class,NN
medications,NNS
Based,VBN
upon,IN
literature,NN
clinical,JJ
experience,NN
risk,NN
MOH,NNP
appears,VBZ
highest,JJS
opioids,NNS
combination,NN
analgesics,NNS
combinations,NNS
The,DT
risk,NN
triptans,NNS
considered,VBN
intermediate,JJ
experts,NNS
high,JJ
others,NNS
MOH,NNP
may,MD
avoided,VBN
CGRP,NNP
antagonists,NNS
effective,JJ
preventive,NN
well,RB
acute,JJ
treatment,NN
migraine,JJ
The,DT
risk,NN
lowest,JJS
NSAIDs,NNP
may,MD
even,RB
protective,JJ
development,NN
chronic,JJ
migraine,NN
patients,NNS
less,JJR
headache,NN
days,NNS
per,IN
month,NN
See,VB
Medication,NNP
overuse,NN
headache,NN
Etiology,NN
clinical,JJ
features,NNS
diagnosis,NN
section,NN
'Causal,JJ
medications,NNS
',POS
In,IN
order,NN
prevent,VB
development,NN
MOH,NNP
acute,JJ
medications,NNS
limited,VBN
less,JJR
days,NNS
per,IN
month,NN
less,JJR
days,NNS
per,IN
month,NN
aspirin,NN
acetaminophen,NN
NSAIDS,NNP
preventive,JJ
therapies,NNS
used,VBN
mainstay,NN
patients,NNS
frequent,JJ
headaches,NNS
See,VB
Medication,NNP
overuse,NN
headache,NN
Etiology,NN
clinical,JJ
features,NNS
diagnosis,NN
SIMPLE,NNPS
ANALGESICS,NNP
Some,DT
patients,NNS
migraine,NN
optimal,JJ
response,NN
simple,JJ
analgesics,NNS
including,VBG
aspirin,NN
nonsteroidal,JJ
drugs,NNS
NSAIDs,NNP
acetaminophen,RB
drugs,NNS
NSAIDs,NNP
reported,VBN
efficacy,NN
randomized,JJ
trials,NNS
migraine,JJ
therapy,NN
include,VBP
aspirin,NN
mg,NN
ibuprofen,NN
mg,NN
naproxen,NN
mg,NN
diclofenac,NN
mg,NN
diclofenac,JJ
epolamine,NN
mg,NN
tolfenamic,JJ
acid,NN
mg,NN
celecoxib,NN
dexketoprofen,NN
mg,NN
Some,DT
studies,NNS
limited,VBN
varying,VBG
outcome,JJ
measures,NNS
definitions,NNS
migraine,NN
A,DT
systematic,JJ
review,NN
eight,CD
randomized,JJ
trials,NNS
found,VBD
parenteral,JJ
ketorolac,NN
mg,RB
intravenous,JJ
IV,NNP
mg,NNS
intramuscular,JJ
effective,JJ
acute,JJ
migraine,NN
comparison,NN
agents,NNS
including,VBG
intranasal,JJ
sumatriptan,NN
IV,NNP
prochlorperazine,NN
IV,NNP
chlorpromazine,NN
IV,NNP
dihydroergotamine,NN
combined,VBN
metoclopramide,JJ
trial,NN
showed,VBD
powdered,JJ
diclofenac,NN
potassium,NN
mg,NN
produced,VBD
rapid,JJ
effective,JJ
pain,NN
relief,NN
two,CD
hours,NNS
tablets,NNS
data,NNS
limited,JJ
benefit,NN
may,MD
seen,VBN
indomethacin,NN
