value,tag
What,WP
tetanus,VBN
Tetanus,NNP
serious,JJ
infection,NN
causes,VBZ
muscle,NN
stiffness,NN
spasms,NN
It,PRP
sometimes,RB
called,VBN
lockjaw,NN
muscle,NN
spasms,NNS
clench,VB
jaw,NN
caused,VBN
bacteria,NNS
germs,NNS
live,VBP
soil,NN
They,PRP
get,VB
body,NN
cut,NN
scrape,NN
They,PRP
also,RB
get,VB
body,NN
person,NN
uses,VBZ
needle,JJ
inject,VB
illegal,JJ
drugs,NNS
Most,JJS
people,NNS
United,NNP
States,NNPS
protected,VBN
bacteria,NNS
gotten,VBN
vaccines,NNS
symptoms,NNS
tetanus,NN
The,DT
symptoms,NNS
include,VBP
jaw,NN
neck,NN
muscles,NNS
make,VBP
hard,JJ
move,VB
jaw,NN
neck,VB
smile,NN
go,VB
away,RP
try,VBP
relax,VB
painful,JJ
muscles,NNS
let,VB
go,VB
try,VBP
relax,VB
breathing,NN
swallowing,VBG
irritable,JJ
even,RB
exercising,VBG
faster,JJR
usual,JJ
irregular,JJ
muscle,NN
spasmsPeople,NN
sick,JJ
tetanus,NN
muscle,NN
spasms,NNS
force,VBP
body,NN
bridge,NN
position,NN
They,PRP
might,MD
arched,VBN
floor,NN
stretched,VBN
moving,VBG
back,RB
breathing,VBG
They,PRP
might,MD
even,RB
stop,VB
breathing,NN
muscle,NN
I,PRP
see,VBP
doctor,NN
nurse,NN
See,VB
doctor,NN
nurse,NN
right,RB
away,RB
get,VBP
puncture,NN
wound,NN
example,NN
nail,NN
goes,VBZ
get,VBP
cut,NN
scrape,NN
injury,NN
clean,VB
injury,NN
leaves,VBZ
something,NN
like,IN
nail,NN
glass,NN
inside,IN
animal,NN
bites,NNS
diabetes,NNS
get,VB
sore,NN
foot,NN
leg,NN
stiff,JJ
jaw,NN
neck,NN
tight,JJ
muscles,NNS
relax,VB
painful,JJ
muscle,NN
trouble,NN
breathing,NN
especially,RB
important,JJ
see,VB
doctor,NN
nurse,NN
get,VBP
puncture,NN
wound,NN
animal,NN
bite,NN
last,JJ
tetanus,NN
shot,NN
years,NNS
ago,RB
longer,JJR
remember,VB
getting,VBG
tetanus,NN
test,NN
tetanus,NN
No,DT
There,EX
simple,JJ
test,NN
But,CC
doctor,NN
nurse,NN
able,JJ
tell,VB
learning,VBG
symptoms,NNS
vaccine,JJ
history,NN
exam,NN
This,DT
infection,NN
likely,JJ
people,NNS
injury,NN
tetanus,NN
vaccine,NN
right,JJ
vaccine,NN
tetanus,NN
dangerous,JJ
Yes,NNP
People,NNS
tetanus,NNS
need,VBP
go,VB
hospital,NN
people,NNS
even,RB
die,VBP
The,DT
muscle,NN
spasms,NNS
stop,VB
tetanus,VBN
treated,VBN
Doctors,NNPS
treat,VBP
tetanus,NNS
hospital,NN
sometimes,RB
intensive,JJ
care,NN
unit,NN
ICU,NNP
Treatments,NNS
include,VBP
cuts,NNS
scrapes,NNS
remove,VB
skin,NN
tissue,NN
could,MD
tetanus,VBN
bacteria,NNS
medicines,NNS
fight,VB
tetanus,NN
vaccine,NN
medicine,NN
treatments,NNS
reduce,VB
muscle,NN
spasms,NNS
breathing,VBG
problems,NNS
pain,NN
ventilator,NN
breathing,VBG
machine,NN
trouble,NN
breathing,VBG
feeding,NN
tube,NN
eat,VB
drink,VB
physical,JJ
therapy,NN
help,VB
muscles,NNS
recoverCan,VB
tetanus,NN
prevented,VBN
Yes,UH
To,TO
reduce,VB
chances,NNS
getting,VBG
tetanus,NN
things,NNS
tetanus,NN
vaccine,NN
This,DT
teaches,VBZ
body,NN
fight,VB
tetanus,NN
Most,JJS
children,NNS
growing,VBG
United,NNP
States,NNPS
get,VBP
vaccine,NN
part,NN
routine,JJ
childhood,NN
regular,JJ
tetanus,NN
booster,NN
shots,NNS
Adults,NNS
get,VB
tetanus,JJ
booster,NN
shots,NNS
every,DT
years,NNS
For,IN
bad,JJ
wounds,NNS
need,VB
get,VB
tetanus,NN
booster,NN
shot,NN
n't,RB
one,CD
last,JJ
years,NNS
If,IN
bad,JJ
wound,NN
n't,RB
received,VBN
tetanus,NN
vaccines,NNS
sure,JJ
need,VB
tetanus,NN
booster,NN
shot,NN
another,DT
shot,NN
fight,VB
tetanus,NN
bacteria,NN
got,VBD
cuts,NNS
scrapes,NNS
soap,NN
water,NN
use,NN
antibiotic,JJ
ointment,NN
See,VB
doctor,NN
nurse,NN
get,VB
dirt,NN
see,VB
way,NN
inject,JJ
illegal,JJ
drugs,NNS
least,JJS
use,JJ
clean,JJ
needles,NNS
inject,VB
drugs,NNS
anything,NN
topic,NN
Patient,JJ
education,NN
Taking,NNP
care,NN
cuts,NNS
scrapes,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
Animal,NNP
human,JJ
bites,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
Vaccines,NNS
adults,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
What,WP
know,VB
vaccines,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
Vaccines,NNS
babies,NNS
children,NNS
age,NN
years,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
Vaccines,NNS
children,NNS
age,NN
years,NNS
The,DT
Basics,NNPS
Patient,JJ
education,NN
Vaccines,NNS
adults,NNS
Beyond,IN
Basics,NNPS
Patient,JJ
education,NN
Why,WRB
child,NN
need,NN
vaccines,NNS
Beyond,IN
Basics,NNPS
Patient,JJ
